mid,用户名,发文时间,内容,转发数,评论数,点赞数
4487921707334950#,熊可柠,2020-03-29,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
4487920473782257#,一只肌柚亭,2020-03-29,"
感谢有你，一起和@白敬亭 为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487920339372800#,夏雪家小宝,2020-03-29,"
@王凯kkw//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487920309865787#,夏雪家小宝,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487920289533395#,夏雪家小宝,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487918888454084#,aK妈妈级凯粉也疯狂,2020-03-29,"
                     谢谢//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487918858660511#,赵静妮子,2020-03-29,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
4487918825289695#,aK妈妈级凯粉也疯狂,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487918791782404#,aK妈妈级凯粉也疯狂,2020-03-29,"
                    //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487918666054699#,用户6911277044,2020-03-29,"
#感谢 有你# 向战役人员致敬。 //@活力伊利:#感谢 有你#我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 //@白敬亭: 感谢你们的辛苦付出，向你们致敬，回家好好休息 ", , ,
4487918179176161#,夏雪家小方,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487918158093989#,夏雪家小方,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487918141490729#,夏雪家小方,2020-03-29,"
@王凯kkw//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487918061974482#,量贩甜桃,2020-03-29,"
//@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487917806397935#,董郎行,2020-03-29,"
                    杨立峰：我一直认为超车道是最危险的车道，印证了我这一观点，防不胜防的对向车道，本次事故小车幸运了~���#下雪##感谢 有你##关注新冠肺炎# L董郎行的微博视频 ​                ", 5, 5,6
4487917801939490#,谁家小姑娘1996,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487917675895232#,北极兔love,2020-03-29,"
                    为大爱发声，为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487917504594700#,芒斯特吖,2020-03-29,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
4487917416395582#,董郎行,2020-03-29,"
                    【#张文宏预测10月后或有疫情高峰#】3月29日，在第二届新冠肺炎多学科论坛上，复旦大学附属华山医院感染科主任张文宏对国际疫情分析时表示，金秋10月可能会是疫情低谷，之后可能还有高峰。L人民视频的秒拍视频 ​@人民视频 ​​​#关注新冠肺炎##感谢 有你# ​                ", , ,
4487917303124637#,董郎行,2020-03-29,"
                    朱孝顶：地不分南北，人不分老幼，亲自跑到派出所亲自扔下钱物亲自转身就跑，这动作整齐划一，这动作感人至深，这新闻层出不穷，新时代新特征@浪迹天涯律师 #关注新冠肺炎##感谢 有你##最新疫情地图# ​                ", 5, 6,6
4487917152196458#,小娴繁花,2020-03-29,"
#感谢 有你# 感谢所有抗疫一线人员，你们辛苦了@张铭恩_ ", , ,
4487917130810256#,冬雨的小心肝,2020-03-29,"
                    抗疫的这场光荣战斗已经取得阶段性胜利，凯旋的英雄无不让我们牵挂惦记！#感谢 有你#感谢前线那一抹抹伟岸的身影，那一声声赤诚的叮咛！伊利再捐1.8亿为抗疫英雄们提供营养支持！与#周冬雨#一起说出对抗疫英雄的爱意，点击查看更多感人故事O网页链接 //@周冬雨: 感恩  ", , ,
4487916602253522#,夏雪家小方,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487916602248793#,ALQ嘻,2020-03-29,"
@王珞丹 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@王珞丹:#感谢 有你# 感谢所有为疫情奋战过的医护人员，致敬仍坚守在抗疫最前线的工作者们。唯愿，春来，疫去，民安。点击链接 O网页链接 感受更多爱的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,1
4487916598016314#,九九遇晛心動ing,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487916581318007#,夏雪家小方,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487916560825118#,夏雪家小方,2020-03-29,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487916560913665#,温柔大半,2020-03-29,"
                    为大爱发声，为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487916409784969#,皮卡黎咻丶丶,2020-03-29,"
                    //@丷小九蜗丷y_y:和@白敬亭 一起传递正能量//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487916354776347#,飘戚戚,2020-03-29,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
4487916312624699#,飞儿WXH,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487916216871127#,怀柔区不加糖亭甜,2020-03-29,"
                    为大爱发声，为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487915944355890#,ALQ嘻,2020-03-29,"
                    转发 //@王珞丹:#感谢 有你# 感谢所有为疫情奋战过的医护人员，致敬仍坚守在抗疫最前线的工作者们。唯愿，春来，疫去，民安。点击链接 O网页链接 感受更多爱的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,1
4487915780216455#,浅小雅0517,2020-03-29,"
                    //@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄，点击：O网页链接 和@活力伊利 一起对他们说声感谢！                ", , ,
4487915641883787#,蓝白信书,2020-03-29,"
感谢有你，一起和@白敬亭 为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487915146917162#,李现omg,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487915109459732#,白卷鹅,2020-03-29,"
//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们 //@白敬亭: 感谢你们的辛苦付出，向你们致敬，回家好好休息 ", 1, ,
4487915076202871#,飞儿QQH,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487914802978212#,父母爱情_44509,2020-03-29,"
@王凯kkw 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487914576516012#,为冤案点评,2020-03-29,"
                    //@安得天下无冤2019://@我要平安6380388062:@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487914388135486#,XiXiXiKKKkkk,2020-03-29,"
                    //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4487914295898946#,我想喝奶茶了_,2020-03-29,"
感谢有你，一起和@白敬亭 为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487914228837195#,甜橙小蘑王,2020-03-29,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , 2,
4487914190343798#,·松鼠星球·,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487913918398012#,李现的卧蚕,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487913901531886#,巧克丽8895,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487913092387447#,福气满满的哈哈哈哈,2020-03-29,"
                    //@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄，点击：O网页链接 和@活力伊利 一起对他们说声感谢！                ", , ,
4487912790333685#,巧克丽8893,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487912521967126#,start3542,2020-03-29,"
                    //@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄，点击：O网页链接 和@活力伊利 一起对他们说声感谢！                ", , ,
4487912453997982#,白敬亭今天会翻我牌吗,2020-03-29,"
                    为大爱发声，为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487912438084200#,yjp70后的老阿姨,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有希望你们可以早日回到温暖的家                ", , ,
4487912374165892#,南境夭妖,2020-03-29,"
                    //@金工1910团支部://@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄，点击：O网页链接 和@活力伊利 一                ", , ,
4487912051864655#,肖战的小女友2003,2020-03-29,"
                    //@金工1910团支部://@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄，点击：O网页链接 和@活力伊利 一                ", , ,
4487911850890776#,愤怒的滚圆圆,2020-03-29,"
                    //@宇宙甜心呀: //@活力伊利:1202个名字，一份英雄的名单，一份骄傲的名单！#感谢 有你#感谢这名单上每一位白衣战士，名单虽轻，名字却重！这里有更多感人事迹，点击: O网页链接 与#白宇#一起说出感谢//@白宇WHITE: #1202位陕西援鄂医务人员全名单#闪闪发光，致敬逆行者，平安回家 ", , ,
4487911779440353#,遇晛心動cherry,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487911544241394#,今天蔚蔚有钱长高了嘛,2020-03-29,"
                    为大爱发声 为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487911343240931#,馨馨ma1103,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487911267862487#,·電台情歌·,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487911158258211#,清哥Family,2020-03-29,"
                    今天上了厅堂又下了厨房，棒棒哒今晚菜谱：莲藕排骨汤，凉拌秋葵，清炒菜心，清蒸红糟鳗鱼，锡纸金针菇没有当家是真的不懂柴米油盐啊，娘亲不在家的第三天，已然有点有一顿 没一顿的赶脚了，到菜市场都不知道买啥，然后就胡乱买一通#美食##带着微博去旅行##表情##感谢 有你##  ​  展开全文c ", , ,
4487910630247758#,心雨天1972,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487910134682901#,变现为宝No1,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。O网页链接 ", , ,
4487909707160180#,zqz山野村夫,2020-03-29,"
                    //@徐研玲:#感谢 有你#志愿者只要人人都献出一点爱，世界将会变成美好的人间……感谢献血的每个人 ", , ,
4487909492887698#,馨馨ma1019,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487909295639277#,紫月嬿妮,2020-03-29,"
#感谢 有你# 为大爱发声，为正能量点赞�//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487908239381091#,开心快乐8816,2020-03-29,"
                    //@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄，点击：O网页链接 和@活力伊利 一起对他们说声感谢！                ", , ,
4487907912265143#,奶油梨馅派ii,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487907648003187#,uuuy鱼,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故                ", , 1,
4487906959335786#,鹅村村长001,2020-03-29,"
//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们 //@白敬亭: 感谢你们的辛苦付出，向你们致敬，回家好好休息 ", , ,
4487906792241143#,安得天下无冤2019,2020-03-29,"
                    //@我要平安6380388062:@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", 1, ,
4487905919564102#,我是演员李现家的小乖ing,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 希望你们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487905596520690#,现加糖,2020-03-29,"
                    //@宠现ing_李现个站:感谢有你们，感谢所有一线英雄们�谢谢你们的付出和守护～早日归来，感恩有你//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对抗疫英雄的感谢。                ", , ,
4487905395601654#,用户7413833020,2020-03-29,"
                    //@活力伊利:#感谢 有你# 幸好有你。你们为抵御疫情的战舰修葺壁垒，好奶酪给健康建砖加瓦！                ", , ,
4487905348831543#,蜜白手,2020-03-29,"
                    为大爱发声，为正能量点赞//@活力伊利:#感谢 有你#全国各地援鄂医疗队的“逆行”，为湖北增添了更大的力量！我们团结一心，就能雨过天晴！感谢#白敬亭#为大爱发声，为正能量点赞！伊利和一线人员共进退，再捐1.8亿，感谢抗疫英雄们，点击观看更多英雄故事O网页链接 ", , ,
4487905164977865#,爱吃甘草杏的奶恩,2020-03-29,"
#感谢 有你#这里有抗疫英雄的感人故事。伊利集团再捐1.8亿，感谢全国所有援鄂医疗队员；感谢钟南山、李兰娟、程京等科研团队并支持他们继续科研攻坚；感谢一线医护人员；感谢支持抗疫的各界人士！@活力伊利 联合@新华网 发起#感谢 有你#活动O网页链接，和伊利一起说出你的感谢！ ​                ", , ,
4487904732602486#,一万口新鲜xx,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487904669925826#,小李飞刀削面99,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所可以早日回到温暖的。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4487904506211885#,变现为宝,2020-03-29,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。O网页链接 ", , ,
