mid,用户名,发文时间,内容,转发数,评论数,点赞数
4489273946154870#,幸福永随珺儿,2020-04-02,"
@李现ing 我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 说出对所有抗疫英雄们的感谢。O网页链接看感人故事                ", , ,
4489272520454385#,月妍kkw,2020-04-02,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489272519989043#,青梨子jie,2020-04-02,"
                    //@雷公子Jecci:#感谢 有你#突如其来的疫情让我的家乡湖北遭受了前所未有的灾难。疫情爆发时超4万名援鄂医疗工作者，白衣执甲，出征前线。感谢你们的付出！点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢！                ", , ,
4489272243149926#,君温柔似水,2020-04-02,"
感谢有你！致敬英雄！//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489271429829174#,玩足球_大象2019,2020-04-02,"
#甄稀品牌代言人李现# 帅//@宠现ing_李现个站:感谢有你们，感谢所有一线英雄们�谢谢你们的付出和守护～早日归来，感恩有你//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，起说出对抗疫英雄的感谢。                ", , ,
4489270616352177#,晓晓同学LL,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战的也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489270372506903#,月色朦胧wyh,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489269890175384#,凯凯的头毛13,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489269735285106#,用户7289515370,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温暖的家中，点击链接O网页链接看更多感人的故事                ", , ,
4489267134560984#,用户7059781366,2020-04-02,"
#感谢 有你#[咖啡]午后小故事:有四个20岁左右的青年去银行贷款，银行答应借给他们每人一笔巨款，条件是在五十年内还清本金。第一个青年，拿这些钱吃喝玩乐25年，再用剩下的25年努力偿还，活到七十岁，最后一事无成，死的时候负债累累，他的名字叫“懒惰”。第二个青年，前25年努力工作，50岁还清了所 ​  展开全文c ", , ,
4489265859320208#,凯凯的头毛12,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489265092510935#,现现和瑶瑶ing,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489264828215638#,天现秘书为何那样,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489263347254433#,用户6570821879,2020-04-02,"
//@王可爱kkw的盒盒盒:#感谢 有你# 谢谢。向你们致敬//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489263346951959#,微凉的秋风253,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489263331059048#,思仔仔仔now,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489263330391083#,用户6570821879,2020-04-02,"
//@王可爱kkw的盒盒盒:#感谢 有你# 谢谢。向你们致敬//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489263314012396#,用户6570821879,2020-04-02,"
//@王可爱kkw的盒盒盒:#感谢 有你# 谢谢。向你们致敬//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489262714546558#,笑珊39953,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489262000937710#,想和您聊聊天,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489261196222418#,随缘相聚-随遇而安,2020-04-02,"
@刘涛tamia 我永远支持你！���//@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,1
4489260411768566#,鲁娅希茜莲竹桂,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489260189367765#,宠Lee啊,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489259983859686#,内来老巢伊,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489259371723709#,馑忆,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员，希望你们回到家。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489259291855395#,翁明士宁力,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489259077116026#,用户6249497206,2020-04-02,"
                    //@刘涛tamia:#感谢 有你# 致敬所有在疫情期间昼夜奋战，为抗疫持续研究的科研工作者。感谢你们守护了我们的健康与生命。点击链接O网页链接看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489258037595680#,想想怎么改名字,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489255185607402#,圆秀秀秀儿,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489254468096766#,星星LuckyCandy,2020-04-02,"
#感谢 有你# ", , ,
4489254266608774#,伟伟爱我,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489252912019054#,王-----妃细水长流,2020-04-02,"
王凯 #王凯宋仁宗# #王凯清平乐# #王凯大江大河2# #王凯猎狐# #王凯宋运辉##王凯夏远# 小狮子�凯宝，优秀boy，辛苦啦❤�@王凯kkw �「王凯-宋仁宗-宋运辉-夏远」//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员， O网页链接 我们和@活力伊利 感谢。                ", , ,
4489252740505622#,王-----妃细水长流,2020-04-02,"
王凯 #王凯宋仁宗# #王凯清平乐# #王凯大江大河2# #王凯猎狐# #王凯宋运辉##王凯夏远# 小狮子�凯宝，如果可以，好好休息一下下哦�@王凯kkw �「王凯-宋仁宗-宋运辉-夏远」//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，我们和@活力伊利 一起说出对抗疫英雄们的感谢。                ", , ,
4489252610298589#,王-----妃细水长流,2020-04-02,"
王凯 #王凯宋仁宗# #王凯清平乐# #王凯大江大河2# #王凯猎狐# #王凯宋运辉##王凯夏远# 小狮子�凯宝，中午好啊�@王凯kkw �「王凯-宋仁宗-宋运辉-夏远」//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员， O网页链接 我们和@活力伊利 一起说出对抗疫英雄们的感谢。                ", , ,
