名称,发文数,关注数,粉丝数,获赞数,认证,位置,简介,文章id,标题,发布时间,评论数,转发数,点赞数
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,【快讯！日本新冠肺炎感染者达862人】（总台记者李卫兵） ​​​​,2020/2/26 10:22,7,2,26
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,"‍【26省区市新增确诊病例为0 有你家吗？转起！】包括：贵州、云南、山西、重庆、黑龙江、辽宁、吉林、广西、河南、福建、海南、安徽、北京、湖南、新疆（含兵团）、江苏、宁夏、浙江、广东、江西、天津、青海、西藏、陕西、内蒙古、甘肃。 ​​​​ <a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a> ",2020/2/26 10:08,187,20,578
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,微视频丨你还在我身旁,2020/2/26 10:02,18,2,272
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,"【湖北新增新冠肺炎401例 累计确诊新冠肺炎65187例】湖北新增确诊病例401例（武汉370例），新增治愈出院病例2058例（武汉1456例），新增死亡病例52例（武汉42例），现有确诊病例41660例（武汉33563例），其中重症病例8326例（武汉7355例）。累计治愈出院病例20912例（武汉11793例），累计死亡病例2615例（武汉2085例），累计确诊病例65187例（武汉47441例）。新增疑似病例311例（武汉242例），现有疑似病例2067例（武汉1447例）。<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a> ",2020/2/26 9:46,224,8,838
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,"【全国新增406例新冠肺 全国累计新冠肺炎78064例】2月25日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例406例，新增死亡病例52例（湖北52例），新增疑似病例439例。<br>　　当日新增治愈出院病例2422例，解除医学观察的密切接触者14573人，重症病例减少374例。<br>　　截至2月25日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例45604例（其中重症病例8752例），累计治愈出院病例29745例，累计死亡病例2715例，累计报告确诊病例78064例，现有疑似病例2491例。累计追踪到密切接触者647406人，尚在医学观察的密切接触者79108人。<br>　　湖北新增确诊病例401例（武汉370例），新增治愈出院病例2058例（武汉1456例），新增死亡病例52例（武汉42例），现有确诊病例41660例（武汉33563例），其中重症病例8326例（武汉7355例）。累计治愈出院病例20912例（武汉11793例），累计死亡病例2615例（武汉2085例），累计确诊病例65187例（武汉47441例）。新增疑似病例311例（武汉242例），现有疑似病例2067例（武汉1447例）。<br>　　累计收到港澳台地区通报确诊病例126例：香港特别行政区85例（出院18例，死亡2例），澳门特别行政区10例（出院7例），台湾地区31例(出院5例，死亡1例)。<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a>",2020/2/26 9:46,381,32,4182
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,【快讯！韩国新冠肺炎病例破千】韩国新冠肺炎增至1146例​​​​。（央视记者唐鑫） ​​​​,2020/2/26 9:05,1072,32,2035
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,世卫组织专家组代表：中国应对机制成功阻止了疫情传播 世界需要学习中国经验,2020/2/26 9:03,33,3,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,韩国“新天地教会”总部遭突查,2020/2/26 8:59,76,9,515
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,小男孩给拾荒老人戴口罩 网友：善良的小胖子,2020/2/26 8:44,95,21,676
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,【美国确诊57例新冠肺炎病例 旧金山进入紧急状态】据NBC，美国疾病控制与预防中心最新数据显示，美国新冠肺炎确诊病例增至57例，其中40例为“钻石公主”号邮轮上的撤回人员。另据消息，虽然旧金山目前尚未有确诊病例，但出于对疫情的担忧，市长伦敦·布里德当地时间25日宣布该市进入紧急状态。（海外网）,2020/2/26 8:41,884,37,2034
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,【国际奥委会资深委员：5月下旬将决定东京奥运会是否取消】据外媒报道，当地时间25日，鉴于新冠肺炎疫情扩大，国际奥委会(IOC)委员迪克•庞德表示，如果夏季举办东京奥运会太危险的话，组织者更有可能将其取消，而不是推迟或换地方。庞德估计，决定东京奥运会命运的时间可以推迟到五月下旬再做决定。,2020/2/26 8:39,170,10,352
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,武汉日记：一线药师24小时在值守,2020/2/26 8:10,22,3,177
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,【奥地利首次确认2例新冠肺炎病例】当地时间25日下午，奥地利联邦卫生部发言人确认两例新冠肺炎病例。据当地媒体报道，两人此前曾在意大利伦巴第逗留。（总台记者薛婧萌）,2020/2/26 7:52,36,2,174
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,《新闻1+1》｜武汉医院已是“床等病人”,2020/2/26 0:02,263,11,942
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,疫情24小时丨湖北以外全国新增确诊病例降至个位数 继续对湖北采取最严格的防控措施,2020/2/25 23:55,44,3,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,"【瑞士出现首例新冠肺炎确诊病例】当地时间25日，瑞士提契诺州出现首例新冠肺炎病例。瑞士意大利语区提契诺州与意大利北部接壤。（总台记者薛婧萌）<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a> ",2020/2/25 23:48,161,14,702
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,主播说联播丨要严密防控，也要出手相助,2020/2/25 22:29,33,6,440
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,202002261809130100120651451A02B977,联合国秘书长感谢中国人民奉献 呼吁各国竭尽所能遏制新冠肺炎,2020/2/25 22:27,264,27,2487
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,武汉观察丨大姐学网购：你不传染我 我不传染你 保住这一块的平安,2020/2/25 22:01,4,0,168
