code,发行人中文简称,发行人中文名称,起息日期,起息年份
300355.SZ,蒙草生态,内蒙古蒙草生态环境(集团)股份有限公司,2012-06-01,2012
300367.SZ,东方网力,东方网力科技股份有限公司,2012-11-05,2012
300370.SZ,安控科技,北京安控科技股份有限公司,2017-09-06,2017
300418.SZ,昆仑万维,北京昆仑万维科技股份有限公司,2012-03-08,2012
300431.SZ,暴风集团,暴风集团股份有限公司,2016-10-24,2016
300495.SZ,美尚生态,美尚生态景观股份有限公司,2018-01-03,2018
300498.SZ,温氏股份,广东温氏食品集团股份有限公司,2017-07-07,2017
600005.SH,武钢股份,武汉钢铁股份有限公司,2010-03-02,2010
600007.SH,中国国贸,中国国际贸易中心股份有限公司,2015-09-02,2015
600008.SH,首创股份,北京首创股份有限公司,2011-12-20,2011
600010.SH,包钢股份,内蒙古包钢钢联股份有限公司,2009-12-25,2009
600017.SH,日照港,日照港股份有限公司,2011-10-24,2011
600018.SH,上港集团,上海国际港务(集团)股份有限公司,2008-07-24,2008
600020.SH,中原高速,河南中原高速公路股份有限公司,2017-10-27,2017
600021.SH,上海电力,上海电力股份有限公司,2011-07-11,2011
600022.SH,山东钢铁,山东钢铁股份有限公司,2012-02-17,2012
600033.SH,福建高速,福建发展高速公路股份有限公司,2012-04-23,2012
600035.SH,楚天高速,湖北楚天智能交通股份有限公司,2009-09-11,2009
600039.SH,四川路桥,四川路桥建设集团股份有限公司,2013-01-24,2013
600048.SH,保利地产,保利房地产(集团)股份有限公司,2013-03-04,2013
600057.SH,象屿股份,厦门象屿股份有限公司,2016-10-24,2016
600064.SH,南京高科,南京高科股份有限公司,2014-06-19,2014
600067.SH,冠城大通,冠城大通股份有限公司,2013-12-03,2013
600068.SH,葛洲坝,中国葛洲坝集团股份有限公司,2014-10-28,2014
600069.SH,银鸽投资,河南银鸽实业投资股份有限公司,2013-03-08,2013
600074.SH,保千里,江苏保千里视像科技集团股份有限公司,2016-10-12,2016
600079.SH,人福医药,人福医药集团股份公司,2017-09-07,2017
600086.SH,东方金钰,东方金钰股份有限公司,2013-01-25,2013
600093.SH,易见股份,易见供应链管理股份有限公司,2011-11-17,2011
600098.SH,广州发展,广州发展集团股份有限公司,2015-11-20,2015
600106.SH,重庆路桥,重庆路桥股份有限公司,2012-08-29,2012
600108.SH,亚盛集团,甘肃亚盛实业(集团)股份有限公司,2009-12-16,2009
600111.SH,北方稀土,中国北方稀土(集团)高科技股份有限公司,2012-04-23,2012
600112.SH,天成控股,贵州长征天成控股股份有限公司,2012-07-20,2012
600117.SH,西宁特钢,西宁特殊钢股份有限公司,2014-11-05,2014
600123.SH,兰花科创,山西兰花科技创业股份有限公司,2012-05-02,2012
600125.SH,铁龙物流,中铁铁龙集装箱物流股份有限公司,2009-09-17,2009
600126.SH,杭钢股份,杭州钢铁股份有限公司,2011-08-01,2011
600136.SH,当代明诚,武汉当代明诚文化股份有限公司,2010-03-26,2010
600139.SH,西部资源,四川西部资源控股股份有限公司,2015-07-10,2015
600141.SH,兴发集团,湖北兴发化工集团股份有限公司,2011-05-06,2011
600143.SH,金发科技,金发科技股份有限公司,2017-08-04,2017
600153.SH,建发股份,厦门建发股份有限公司,2011-07-20,2011
600157.SH,永泰能源,永泰能源股份有限公司,2009-09-28,2009
600162.SH,香江控股,深圳香江控股股份有限公司,2015-06-26,2015
600166.SH,福田汽车,北汽福田汽车股份有限公司,2017-09-19,2017
600168.SH,武汉控股,武汉三镇实业控股股份有限公司,2016-06-22,2016
600170.SH,上海建工,上海建工集团股份有限公司,2011-12-27,2011
600172.SH,黄河旋风,河南黄河旋风股份有限公司,2015-07-29,2015
600173.SH,卧龙地产,卧龙地产集团股份有限公司,2011-06-15,2011
600175.SH,美都能源,美都能源股份有限公司,2012-02-08,2012
600176.SH,中国巨石,中国巨石股份有限公司,2012-10-24,2012
600180.SH,瑞茂通,瑞茂通供应链管理股份有限公司,2012-10-30,2012
600195.SH,中牧股份,中牧实业股份有限公司,2017-02-27,2017
600208.SH,新湖中宝,新湖中宝股份有限公司,2011-03-30,2011
600210.SH,紫江企业,上海紫江企业集团股份有限公司,2011-06-15,2011
600219.SH,南山铝业,山东南山铝业股份有限公司,2012-06-15,2012
600223.SH,鲁商置业,鲁商置业股份有限公司,2016-04-05,2016
600226.SH,瀚叶股份,浙江瀚叶股份有限公司,2013-03-20,2013
600231.SH,凌钢股份,凌源钢铁股份有限公司,2008-07-02,2008
600236.SH,桂冠电力,广西桂冠电力股份有限公司,2017-11-13,2017
600239.SH,云南城投,云南城投置业股份有限公司,2016-04-05,2016
600240.SH,华业资本,北京华业资本控股股份有限公司,2012-04-25,2012
600246.SH,万通地产,北京万通地产股份有限公司,2016-01-19,2016
600256.SH,广汇能源,广汇能源股份有限公司,2012-03-08,2012
600259.SH,广晟有色,广晟有色金属股份有限公司,2013-06-05,2013
600260.SH,凯乐科技,湖北凯乐科技股份有限公司,2013-05-29,2013
600266.SH,北京城建,北京城建投资发展股份有限公司,2009-12-08,2009
600267.SH,海正药业,浙江海正药业股份有限公司,2013-05-22,2013
600269.SH,赣粤高速,江西赣粤高速公路股份有限公司,2014-01-16,2014
600273.SH,嘉化能源,浙江嘉化能源化工股份有限公司,2015-03-26,2015
600277.SH,亿利洁能,亿利洁能股份有限公司,2011-10-28,2011
600282.SH,南钢股份,南京钢铁股份有限公司,2017-08-29,2017
600284.SH,浦东建设,上海浦东路桥建设股份有限公司,2015-10-28,2015
600290.SH,华仪电气,华仪电气股份有限公司,2009-10-14,2009
600307.SH,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司,2009-10-19,2009
600310.SH,桂东电力,广西桂东电力股份有限公司,2016-01-29,2016
600312.SH,平高电气,河南平高电气股份有限公司,2013-05-23,2013
600317.SH,营口港,营口港务股份有限公司,2014-05-09,2014
600322.SH,天房发展,天津市房地产发展(集团)股份有限公司,2016-11-30,2016
600323.SH,瀚蓝环境,瀚蓝环境股份有限公司,2015-07-27,2015
600325.SH,华发股份,珠海华发实业股份有限公司,2015-08-26,2015
600335.SH,国机汽车,国机汽车股份有限公司,2017-11-13,2017
600340.SH,华夏幸福,华夏幸福基业股份有限公司,2012-03-12,2012
600348.SH,阳泉煤业,阳泉煤业(集团)股份有限公司,2008-07-11,2008
600350.SH,山东高速,山东高速股份有限公司,2009-11-17,2009
600352.SH,浙江龙盛,浙江龙盛集团股份有限公司,2013-04-15,2013
600357.SH,承德钒钛,承德新新钒钛股份有限公司,2016-07-07,2016
600360.SH,华微电子,吉林华微电子股份有限公司,2009-09-15,2009
600361.SH,华联综超,北京华联综合超市股份有限公司,2010-12-22,2010
600376.SH,首开股份,北京首都开发股份有限公司,2017-11-15,2017
600380.SH,健康元,健康元药业集团股份有限公司,2012-10-24,2012
600383.SH,金地集团,金地(集团)股份有限公司,2014-03-06,2014
600386.SH,北巴传媒,北京巴士传媒股份有限公司,2016-04-29,2016
600392.SH,盛和资源,盛和资源控股股份有限公司,2015-10-15,2015
600393.SH,粤泰股份,广州粤泰集团股份有限公司,2012-06-18,2012
600397.SH,安源煤业,安源煤业集团股份有限公司,2009-11-09,2009
600405.SH,动力源,北京动力源科技股份有限公司,2016-07-19,2016
600409.SH,三友化工,唐山三友化工股份有限公司,2015-03-16,2015
600410.SH,华胜天成,北京华胜天成科技股份有限公司,2011-06-09,2011
600415.SH,小商品城,浙江中国小商品城集团股份有限公司,2016-06-02,2016
600416.SH,湘电股份,湘潭电机股份有限公司,2016-03-01,2016
600422.SH,昆药集团,昆药集团股份有限公司,2011-08-31,2011
600423.SH,柳化股份,柳州化工股份有限公司,2015-07-29,2015
600425.SH,青松建化,新疆青松建材化工(集团)股份有限公司,2012-06-06,2012
600436.SH,片仔癀,漳州片仔癀药业股份有限公司,2009-10-16,2009
600438.SH,通威股份,通威股份有限公司,2009-11-26,2009
600439.SH,瑞贝卡,河南瑞贝卡发制品股份有限公司,2009-10-21,2009
600446.SH,金证股份,深圳市金证科技股份有限公司,2017-09-01,2017
600449.SH,宁夏建材,宁夏建材集团股份有限公司,2012-12-05,2012
600460.SH,士兰微,杭州士兰微电子股份有限公司,2011-12-14,2011
600461.SH,洪城水业,江西洪城水业股份有限公司,2008-02-28,2008
600466.SH,蓝光发展,四川蓝光发展股份有限公司,2016-05-27,2016
600481.SH,双良节能,双良节能系统股份有限公司,2012-11-12,2012
600487.SH,亨通光电,江苏亨通光电股份有限公司,2010-02-02,2010
600496.SH,精工钢构,长江精工钢结构(集团)股份有限公司,2011-11-09,2011
600497.SH,驰宏锌锗,云南驰宏锌锗股份有限公司,2014-12-03,2014
600500.SH,中化国际,中化国际(控股)股份有限公司,2012-03-19,2012
600509.SH,天富能源,新疆天富能源股份有限公司,2015-08-05,2015
600510.SH,黑牡丹,黑牡丹(集团)股份有限公司,2012-11-16,2012
600512.SH,腾达建设,腾达建设集团股份有限公司,2015-07-31,2015
600518.SH,康美药业,康美药业股份有限公司,2012-08-23,2012
600525.SH,长园集团,长园集团股份有限公司,2012-10-22,2012
600535.SH,天士力,天士力医药集团股份有限公司,2009-11-02,2009
600546.SH,山煤国际,山煤国际能源集团股份有限公司,2014-10-23,2014
600550.SH,保变电气,保定天威保变电气股份有限公司,2012-10-17,2012
600561.SH,江西长运,江西长运股份有限公司,2012-08-13,2012
600565.SH,迪马股份,重庆市迪马实业股份有限公司,2015-04-27,2015
600567.SH,山鹰纸业,山鹰国际控股股份公司,2012-03-27,2012
600569.SH,安阳钢铁,安阳钢铁股份有限公司,2014-09-25,2014
600572.SH,康恩贝,浙江康恩贝制药股份有限公司,2009-09-23,2009
600575.SH,皖江物流,安徽皖江物流(集团)股份有限公司,2015-08-24,2015
600578.SH,京能电力,北京京能电力股份有限公司,2010-09-27,2010
600581.SH,八一钢铁,新疆八一钢铁股份有限公司,2015-08-06,2015
600582.SH,天地科技,天地科技股份有限公司,2013-01-29,2013
600583.SH,海油工程,海洋石油工程股份有限公司,2014-08-20,2014
600589.SH,广东榕泰,广东榕泰实业股份有限公司,2011-06-21,2011
600590.SH,泰豪科技,泰豪科技股份有限公司,2016-02-02,2016
600594.SH,益佰制药,贵州益佰制药股份有限公司,2016-08-30,2016
600595.SH,中孚实业,河南中孚实业股份有限公司,2016-02-02,2016
600606.SH,绿地控股,绿地控股集团股份有限公司,2011-11-16,2011
600609.SH,金杯汽车,金杯汽车股份有限公司,2017-05-18,2017
600622.SH,光大嘉宝,光大嘉宝股份有限公司,2014-04-17,2014
600638.SH,新黄浦,上海新黄浦置业股份有限公司,2017-03-20,2017
600641.SH,万业企业,上海万业企业股份有限公司,2013-07-26,2013
600649.SH,城投控股,上海城投控股股份有限公司,2014-05-26,2014
600652.SH,游久游戏,上海游久游戏股份有限公司,2017-07-28,2017
600654.SH,中安消,中安消股份有限公司,2015-06-30,2015
600655.SH,豫园股份,上海豫园旅游商城股份有限公司,2008-03-25,2008
600657.SH,信达地产,信达地产股份有限公司,2016-10-17,2016
600665.SH,天地源,天地源股份有限公司,2014-09-23,2014
600667.SH,太极实业,无锡市太极实业股份有限公司,2015-12-17,2015
600668.SH,尖峰集团,浙江尖峰集团股份有限公司,2014-04-24,2014
600673.SH,东阳光科,广东东阳光科技控股股份有限公司,2017-03-06,2017
600674.SH,川投能源,四川川投能源股份有限公司,2017-01-24,2017
600675.SH,中华企业,中华企业股份有限公司,2017-03-17,2017
600676.SH,交运股份,上海交运集团股份有限公司,2015-06-23,2015
600683.SH,京投发展,京投发展股份有限公司,2013-11-18,2013
600684.SH,珠江实业,广州珠江实业开发股份有限公司,2009-12-09,2009
600687.SH,刚泰控股,甘肃刚泰控股(集团)股份有限公司,2014-03-21,2014
600697.SH,欧亚集团,长春欧亚集团股份有限公司,2015-09-16,2015
600704.SH,物产中大,物产中大集团股份有限公司,2012-03-22,2012
600711.SH,盛屯矿业,盛屯矿业集团股份有限公司,2012-03-21,2012
600714.SH,金瑞矿业,青海金瑞矿业发展股份有限公司,2013-03-13,2013
600716.SH,凤凰股份,江苏凤凰置业投资股份有限公司,2014-06-09,2014
600724.SH,宁波富达,宁波富达股份有限公司,2007-09-24,2007
600730.SH,中国高科,中国高科集团股份有限公司,2016-03-21,2016
600734.SH,实达集团,福建实达集团股份有限公司,2017-04-24,2017
600736.SH,苏州高新,苏州新区高新技术产业股份有限公司,2016-06-14,2016
600741.SH,华域汽车,华域汽车系统股份有限公司,2017-10-23,2017
600743.SH,华远地产,华远地产股份有限公司,2016-08-18,2016
600748.SH,上实发展,上海实业发展股份有限公司,2014-12-26,2014
600750.SH,江中药业,江中药业股份有限公司,2016-04-27,2016
600759.SH,洲际油气,洲际油气股份有限公司,2012-10-24,2012
600765.SH,中航重机,中航重机股份有限公司,2009-08-26,2009
600770.SH,综艺股份,江苏综艺股份有限公司,2009-12-28,2009
600773.SH,西藏城投,西藏城市发展投资股份有限公司,2016-02-25,2016
600782.SH,新钢股份,新余钢铁股份有限公司,2011-08-25,2011
600783.SH,鲁信创投,鲁信创业投资集团股份有限公司,2008-03-10,2008
600787.SH,中储股份,中储发展股份有限公司,2011-07-15,2011
600792.SH,云煤能源,云南煤业能源股份有限公司,2007-11-09,2007
600794.SH,保税科技,张家港保税科技(集团)股份有限公司,2011-09-16,2011
600795.SH,国电电力,国电电力发展股份有限公司,2015-07-14,2015
600803.SH,新奥股份,新奥生态控股股份有限公司,2009-10-26,2009
600804.SH,鹏博士,鹏博士电信传媒集团股份有限公司,2016-01-25,2016
600812.SH,华北制药,华北制药股份有限公司,2015-08-07,2015
600815.SH,厦工股份,厦门厦工机械股份有限公司,2009-12-28,2009
600820.SH,隧道股份,上海隧道工程股份有限公司,2016-04-22,2016
600823.SH,世茂股份,上海世茂股份有限公司,2010-01-25,2010
